Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2022-07-30,280444.52,191552.83,154292.73,154292.73,7487.89,7012.24
2022-07-31,185592.01,251430.09,130686.19,130686.19,4548,4590.63
2022-08-01,189866.57,242448.61,136052.62,136052.62,5236.6,5087.28
2022-08-02,178423.06,218916.52,122437.91,122437.91,5758.49,5563.14
2022-08-03,223306.75,224770.42,129436.46,129436.45,5948.98,6076.16
2022-08-04,223983.08,178902.48,127772.3,127772.3,7202.77,7273.63
2022-08-05,194018.82,192578.96,118037.31,118037.31,6725.35,6990.02
2022-08-06,193219.82,213743.38,120104.73,120104.73,5924.33,6246.36
2022-08-07,143661.81,253869.66,95909.38,95909.38,3970.45,4193.24
2022-08-08,141454.69,216538.54,90731.66,90731.66,4409.94,4850.73
2022-08-09,127229.78,243890.77,88965.76,88965.76,3689.84,3733.82
2022-08-10,131881.41,257475.58,95732.2,95732.2,3751.2,3730.43
2022-08-11,118338.31,317163.73,87600.13,87600.13,3297.45,3223.9
2022-08-12,138315.49,290051.6,102948.96,102948.96,3337.33,3225.77
2022-08-13,163696.45,267127.22,101886.67,101886.67,3721.39,3659.39
2022-08-14,151479.15,254204.34,101908.4,101908.4,3656.77,3770.17
2022-08-15,143935.33,284952.84,105917.66,105917.66,3146.19,3360.07
2022-08-16,197017.34,233126.87,116816.37,116816.37,5386.18,5521.38
2022-08-17,194998.26,226679.27,114805.82,114805.82,5293.01,5499.44
2022-08-18,188788.86,241095.42,120756.9,120756.9,4888.55,5120.14
2022-08-19,146054.84,147561.74,67252.69,67252.69,4619.53,4810.69
2022-08-20,161114.32,181235.48,88887.15,88887.15,5629.26,5683.35
2022-08-21,122423.69,257517.06,92763.49,92763.49,3397.65,3497.15
2022-08-22,169003.01,218866.49,92898.38,92898.38,4617.4,4912.62
2022-08-23,194019.77,281132.77,120883.28,120883.28,4415.51,4436.79
2022-08-24,189727.89,278388.31,122136.06,122136.06,4298.82,4390.89
2022-08-25,256267.43,230140.51,138000.2,138000.2,5644.89,5713.15
2022-08-26,249566.82,198259.58,132938.5,132938.5,6632.2,6836.29
2022-08-27,248534.2,191696.34,133251.78,133251.78,7365.03,7431.38
2022-08-28,220444.87,218693.11,127119.63,127119.63,6048.35,6333.57
2022-08-29,249554.38,190350.72,129965.58,129965.58,7373.2,7313.42
2022-08-30,268711.68,214007.11,147486.79,147486.79,7368.9,7281.16
2022-08-31,271619.66,234439.1,157298.46,157298.46,7403.77,7295.02
2022-09-01,306695.8,204295.02,157925.92,157925.92,8282.55,7930.09
2022-09-02,300290.23,181969.94,150300.13,150300.13,9080.64,8885.24
2022-09-03,210737.96,194291.68,121477,121477,7710.16,8089.11
2022-09-04,187839.57,252188.43,128206.22,128206.22,5289.28,5644.7
2022-09-05,229280.9,225259.26,132722.67,132722.67,6729.24,7116.6
2022-09-06,255823.41,198968.24,131259.49,131259.49,7730.11,7895.75
2022-09-07,289202.72,201611.88,150094.38,150094.38,8688.78,8868.38
2022-09-08,281972.82,245573.8,169917.07,169917.07,7746.3,7850.73
2022-09-09,291234.02,270544.02,192236.07,192236.07,7421.24,7703.51
2022-09-10,296229.84,275686.84,190598.96,190598.96,7502.09,7636.23
2022-09-11,232458.19,328669.8,171403.2,171403.2,5016.81,5260.79
2022-09-12,203192.2,292095.04,145155.81,145155.81,4957.91,5033.39
2022-09-13,203091.51,262621.12,134941.11,134941.11,5274.26,5390.05
2022-09-14,195726.51,311612.22,141668.66,141668.66,4548.08,4464.25
2022-09-15,173676.11,302619.34,126034.07,126034.07,3809.32,3738.61
2022-09-16,189039.18,282264.24,129148.5,129148.5,3942.84,3776.16
2022-09-17,182274.17,263598.4,119578.78,119578.78,3810.68,3811.62
2022-09-18,191255.17,298113.56,126848.75,126848.75,3591.99,3661.65
2022-09-19,202736.12,229718.22,115493.58,115493.58,4616.29,4787.82
2022-09-20,260565.26,200759.41,116357.9,116357.9,5822.19,5839.01
